Date,Category,Amount,Description
2024-04-01,Food,450,Grocery shopping
2024-04-01,Transport,80,Auto rickshaw
2024-04-02,Food,120,Lunch at canteen
2024-04-02,Bills,1200,Electricity bill
2024-04-03,Food,200,Dinner with friends
2024-04-03,Transport,150,Bus pass top-up
2024-04-04,Shopping,800,New shirt
2024-04-04,Food,90,Breakfast
2024-04-05,Transport,60,Auto rickshaw
2024-04-05,Food,350,Grocery
2024-04-06,Shopping,1200,Sports shoes
2024-04-07,Food,180,Sunday brunch
2024-04-07,Bills,500,Internet recharge
2024-04-08,Food,110,Snacks
2024-04-08,Transport,100,Cab
2024-04-09,Food,420,Grocery
2024-04-09,Shopping,600,Books
2024-04-10,Transport,80,Auto rickshaw
2024-04-10,Food,150,Lunch
2024-04-11,Bills,800,Mobile recharge annual
2024-04-11,Food,200,Dinner
2024-04-12,Transport,120,Cab to station
2024-04-13,Food,380,Grocery
2024-04-13,Shopping,2200,Shoes
2024-04-14,Food,95,Breakfast
2024-04-14,Transport,60,Auto
2024-04-15,Bills,1500,Rent split
2024-04-15,Food,230,Lunch out
2024-04-16,Shopping,450,Stationery
2024-04-16,Transport,90,Bus
2024-04-17,Food,400,Grocery
2024-04-17,Other,300,Haircut
2024-04-18,Food,160,Dinner
2024-04-18,Transport,200,Cab late night
2024-04-19,Shopping,1800,Clothing sale
2024-04-20,Food,120,Lunch
2024-04-20,Bills,600,OTT subscriptions
2024-04-21,Food,450,Grocery
2024-04-21,Transport,80,Auto
2024-04-22,Other,500,Medicine
2024-04-22,Food,180,Snacks and juice
2024-04-23,Shopping,900,Gift for friend
2024-04-23,Transport,140,Cab
2024-04-24,Food,390,Grocery
2024-04-24,Other,200,Parking and misc
2024-04-25,Food,210,Dinner date
2024-04-25,Transport,100,Auto
2024-04-26,Bills,400,Water and maintenance
2024-04-26,Food,130,Breakfast
2024-04-27,Shopping,650,Online order
2024-04-27,Food,460,Weekend grocery
2024-04-28,Transport,180,Cab airport drop
2024-04-28,Food,250,Restaurant
2024-04-29,Other,800,Doctor visit
2024-04-29,Food,100,Snacks
2024-04-30,Transport,90,Auto
2024-04-30,Food,320,Monthly grocery top-up
2024-05-01,Food,200,Test
